# Nmap 7.93 scan initiated Thu Mar  5 20:38:12 2026 as: nmap -Pn -sS -p- --min-rate 3000 -oN /workspace/data/projects/ctf-154-57-164-76-32105/artifacts/nmap_allports.txt 154.57.164.76
Nmap scan report for 154-57-164-76.static.isp.htb.systems (154.57.164.76)
Host is up (0.013s latency).
Not shown: 35531 filtered tcp ports (no-response), 3 filtered tcp ports (port-unreach), 29693 closed tcp ports (reset)
PORT      STATE SERVICE
32264/tcp open  unknown
32266/tcp open  unknown
32269/tcp open  unknown
32296/tcp open  unknown
32303/tcp open  unknown
32313/tcp open  unknown
32315/tcp open  unknown
32324/tcp open  unknown
32325/tcp open  unknown
32333/tcp open  unknown
32338/tcp open  unknown
32342/tcp open  unknown
32347/tcp open  unknown
32368/tcp open  unknown
32370/tcp open  unknown
32372/tcp open  unknown
32376/tcp open  unknown
32383/tcp open  unknown
32384/tcp open  unknown
32396/tcp open  unknown
32414/tcp open  unknown
32422/tcp open  unknown
32431/tcp open  unknown
32445/tcp open  unknown
32455/tcp open  unknown
32480/tcp open  unknown
32492/tcp open  unknown
32501/tcp open  unknown
32505/tcp open  unknown
32510/tcp open  unknown
32523/tcp open  unknown
32532/tcp open  unknown
32534/tcp open  unknown
32554/tcp open  unknown
32558/tcp open  unknown
32572/tcp open  unknown
32573/tcp open  unknown
32580/tcp open  unknown
32610/tcp open  unknown
32611/tcp open  unknown
32617/tcp open  unknown
32618/tcp open  unknown
32623/tcp open  unknown
32628/tcp open  unknown
32650/tcp open  unknown
32651/tcp open  unknown
32657/tcp open  unknown
32661/tcp open  unknown
32668/tcp open  unknown
32670/tcp open  unknown
32678/tcp open  unknown
32685/tcp open  unknown
32703/tcp open  unknown
32713/tcp open  unknown
32723/tcp open  unknown
32724/tcp open  unknown
32725/tcp open  unknown
32737/tcp open  unknown
32738/tcp open  unknown
32763/tcp open  unknown
32766/tcp open  unknown

# Nmap done at Thu Mar  5 20:39:08 2026 -- 1 IP address (1 host up) scanned in 56.15 seconds
