Starting Nmap 7.93 ( https://nmap.org ) at 2026-03-05 21:18 UTC
Nmap scan report for 154-57-164-76.static.isp.htb.systems (154.57.164.76)
Host is up (0.013s latency).
Not shown: 35531 filtered tcp ports (no-response), 3 filtered tcp ports (port-unreach), 29713 closed tcp ports (reset)
PORT      STATE SERVICE
32432/tcp open  unknown
32455/tcp open  unknown
32456/tcp open  unknown
32476/tcp open  unknown
32480/tcp open  unknown
32481/tcp open  unknown
32482/tcp open  unknown
32492/tcp open  unknown
32523/tcp open  unknown
32532/tcp open  unknown
32534/tcp open  unknown
32540/tcp open  unknown
32541/tcp open  unknown
32546/tcp open  unknown
32547/tcp open  unknown
32572/tcp open  unknown
32573/tcp open  unknown
32575/tcp open  unknown
32580/tcp open  unknown
32592/tcp open  unknown
32594/tcp open  unknown
32611/tcp open  unknown
32613/tcp open  unknown
32617/tcp open  unknown
32638/tcp open  unknown
32645/tcp open  unknown
32650/tcp open  unknown
32651/tcp open  unknown
32661/tcp open  unknown
32670/tcp open  unknown
32685/tcp open  unknown
32692/tcp open  unknown
32703/tcp open  unknown
32730/tcp open  unknown
32737/tcp open  unknown
32766/tcp open  unknown

Nmap done: 1 IP address (1 host up) scanned in 27.73 seconds
